120;1;0.155423;0.155327;4;0.0739396;0.0455918;2.10202651894249;3.40690650511715;8;0.0883025;0.0279377;1.76012004190142;5.55976333055334
280;1;1.49687;1.49676;4;0.575913;0.421862;2.59912521509325;3.54798488605278;8;0.545798;0.228411;2.74253478393105;6.55292433376676
400;1;4.45619;4.45607;4;1.4436;1.14645;3.08685924078692;3.88684199049239;8;1.23594;0.607598;3.60550673980938;7.33391156652919
560;1;13.5641;13.564;4;3.98537;3.39632;3.40347320324085;3.99373439487445;8;2.95477;1.7598;4.59057726997364;7.70769405614274
120;1;4.53705;4.53693;4;1.47054;1.35462;3.08529519768248;3.34922708951588;8;1.03728;0.790255;4.37398773715872;5.74109622843259
280;1;60.579;60.5788;4;16.4445;15.8459;3.68384566268357;3.82299522273901;8;9.7067;8.47067;6.24094697477;7.15159485613299
400;1;192.608;192.607;4;51.5877;50.3419;3.73360316509556;3.82597796269112;8;29.5212;26.9631;6.52439602726177;7.14335517800253
560;1;563.204;563.203;4;148.682;146.405;3.78797702479116;3.84688364468427;8;83.3769;78.5848;6.7549165296383;7.16681851961194
120;1;13.5908;13.5906;4;4.20306;4.03188;3.2335488905702;3.37078484478705;8;2.52684;2.16844;5.37857561222713;6.26745494456845
280;1;252.542;252.542;4;69.2427;68.3243;3.64720035469443;3.69622520830803;8;37.9191;35.9693;6.66002093931554;7.02104294495584
400;1;836.585;836.584;4;222.118;220.376;3.76639894110338;3.79616655171162;8;118.892;115.148;7.03651212865458;7.26529336158683
560;1;2464.76;2464.76;4;643.33;640.158;3.83125301167364;3.85023697274735;8;338.464;331.653;7.28219249314551;7.43174341857303
;;;;;;;;;;;;;
120;1;0.16;0.16;4;0.07;0.05;2.1;3.41;8;0.09;0.03;1.76;5.56
280;1;1.5;1.5;4;0.58;0.42;2.6;3.55;8;0.55;0.23;2.74;6.55
400;1;4.46;4.46;4;1.44;1.15;3.09;3.89;8;1.24;0.61;3.61;7.33
560;1;13.56;13.56;4;3.99;3.4;3.4;3.99;8;2.95;1.76;4.59;7.71
120;1;4.54;4.54;4;1.47;1.35;3.09;3.35;8;1.04;0.79;4.37;5.74
280;1;60.58;60.58;4;16.44;15.85;3.68;3.82;8;9.71;8.47;6.24;7.15
400;1;192.61;192.61;4;51.59;50.34;3.73;3.83;8;29.52;26.96;6.52;7.14
560;1;563.2;563.2;4;148.68;146.41;3.79;3.85;8;83.38;78.58;6.75;7.17
120;1;13.59;13.59;4;4.2;4.03;3.23;3.37;8;2.53;2.17;5.38;6.27
280;1;252.54;252.54;4;69.24;68.32;3.65;3.7;8;37.92;35.97;6.66;7.02
400;1;836.59;836.58;4;222.12;220.38;3.77;3.8;8;118.89;115.15;7.04;7.27
560;1;2464.76;2464.76;4;643.33;640.16;3.83;3.85;8;338.46;331.65;7.28;7.43
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
560;1;563.204;563.203;4;148.682;146.405;;;8;83.3769;78.5848;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
560;1;2464.76;2464.76;4;643.33;640.158;;;8;338.464;331.653;;
